Team Member,Session ID,Method,Participant ID,Participant Messages,Session End Date
Team Member 1,930d8d67-6bda-45e6-8f05-14b2ed9e0f47,Microlearning,7429e8411397dcbabb07,13,2025-10-27T14:21:44.530303+00:00
Team Member 1,e5d394b4-e7cf-4681-a389-bf5722f4c9f6,Microlearning,bad164b813042411b392,37,2025-11-04T11:00:31.963347+00:00
Team Member 1,734afd34-72ef-47c2-aa56-f9296d4e2d8c,Microlearning,6c88b8086af025161c91,10,2025-10-23T20:00:35.192514+00:00
Team Member 1,fa33014f-7fbe-42b3-83d5-f67932d076ce,Microlearning vaccines,36ef2b31e60fab60b5a0,18,2025-11-07T08:35:23.591098+00:00
Team Member 1,b41c0ff4-fce7-4082-95cb-dc29c9d24ba7,Microlearning vaccines,af112f94b28b722cd38c,16,2025-10-22T17:12:09.645837+00:00
Team Member 1,21b9b83b-7ff5-476e-b142-dfcfef5aa6bf,Microlearning vaccines,32649e19cbacc65e0a9f,14,2025-10-28T12:47:17.075164+00:00
Team Member 1,a526a4bc-2fe1-44ec-81d1-3d87713aa513,Motivational interviewing,988c90106965d8727773,18,2025-10-23T09:06:02.517520+00:00
Team Member 1,5fcfe8fa-adb2-4f2b-ad48-ee660233d851,Motivational interviewing,319300bc2bac512308cd,17,2025-11-03T08:18:55.698401+00:00
Team Member 1,2b67cfa7-a675-4548-bdd5-3f58b6761426,Motivational interviewing,0d551d035cae8a51cc9e,15,2025-10-30T13:27:04.515175+00:00
Team Member 1,d2460137-0b97-444b-acbb-d288ef9342e3,Scenario,8200bb2872ee41ea5351,8,2025-11-06T16:53:50.779840+00:00
Team Member 1,107e708e-8226-4241-a7f2-202477d2e701,Scenario,45cbc7710484e8f4cf7a,20,2025-11-02T08:45:26.386333+00:00
Team Member 1,0b3ac616-97c4-4de9-befc-90c77fd44b18,Scenario,7b10597c4672421e2275,9,2025-11-03T11:37:25.010506+00:00
Team Member 1,a2912505-1c0c-4567-8b4e-aeea983fd4ef,Visit check in,f120f20518687a649ade,22,2025-11-05T08:20:45.216953+00:00
Team Member 1,d2bf3a0b-9fad-4967-82f7-1a28a5cab33b,Visit check in,b16ad50a9344e62b0914,41,2025-11-05T15:04:09.483856+00:00
Team Member 1,7d4fb5d2-6c20-4a7b-8b42-b6ee320df03f,Visit check in,11a9ebd67a916123eee7,28,2025-11-03T08:31:32.064394+00:00
Team Member 2,276fd4e9-f8fd-487a-a5cc-a520f1568cd5,Microlearning,544b15e82c0ff546f1c7,15,2025-10-24T12:00:40.335753+00:00
Team Member 2,5e583aef-88e9-4126-95bc-9e0de7f73197,Microlearning,10b284f022e853916844,16,2025-11-04T11:05:50.280109+00:00
Team Member 2,ea9af6fb-b223-47e6-b360-3c607d76b62b,Microlearning,a6607ee2a0b98a148f3a,10,2025-11-04T11:54:28.253665+00:00
Team Member 2,cbe1bdc6-a421-4922-85b0-80936752de05,Microlearning vaccines,496d5339c5f347bb1e98,19,2025-11-01T09:59:21.416286+00:00
Team Member 2,04ad3261-3207-485f-8db4-2b05831d80c6,Microlearning vaccines,3dd41a2635d90a009011,83,2025-10-20T10:31:33.859476+00:00
Team Member 2,fdc43bfa-2a4f-4ebc-b2f7-ea3257a21c8a,Microlearning vaccines,1869e47d21ddd499da19,12,2025-10-24T08:29:49.495758+00:00
Team Member 2,18ef67d0-6425-44af-84ea-7316edd3f4ed,Motivational interviewing,52704a6b9b334d1fe76c,15,2025-10-21T09:21:19.790063+00:00
Team Member 2,ccbb914c-36d7-4a96-a899-4935d30b76e1,Motivational interviewing,e5301272c3a203b63083,19,2025-10-20T09:29:51.390878+00:00
Team Member 2,0d7d1704-d7b1-4b9d-8e1d-f0a143ce0c25,Motivational interviewing,0b9fa4ef79dfd561203a,17,2025-11-02T07:35:03.082903+00:00
Team Member 2,c37b71b4-819d-4c76-8b03-4af5da9de151,Scenario,e992fcf54d2fa77e09d6,8,2025-10-21T15:39:07.677620+00:00
Team Member 2,b0a1a7aa-60c9-46fe-9a4f-b53198098985,Scenario,3466a7b7fb5e77b3438e,9,2025-11-07T10:15:46.245744+00:00
Team Member 2,db915d6a-96f3-451b-87ba-5cfe3be9efc0,Scenario,1d9faf5d31cd38371581,9,2025-11-02T14:55:49.051336+00:00
Team Member 2,3e2823c7-3bb4-4377-af15-56062a7f6030,Visit check in,445baff387f9c7d59080,29,2025-10-27T16:16:21.815648+00:00
Team Member 2,2e5d050c-b004-4054-8647-8bb5efd000f6,Visit check in,fc1da9f0e83531386bac,14,2025-10-29T14:13:54.468928+00:00
Team Member 2,ddd44903-f931-4411-a1b1-4e26552f6735,Visit check in,8c9e1140818f8e57c54b,16,2025-10-29T13:38:04.456731+00:00
Team Member 3,55ddb7ab-eaae-4ffc-b0c4-f49d090b82cb,Microlearning,d1088eff5aa5287298f8,12,2025-11-04T12:20:59.282959+00:00
Team Member 3,8b208feb-0474-427c-bd97-6ce6771b820f,Microlearning,96c8bd003c9538149c26,20,2025-10-22T14:54:06.639360+00:00
Team Member 3,40f74fc0-af26-4b63-9d99-58eb60eff250,Microlearning,563a7cec43cca161092f,15,2025-10-23T13:23:13.718335+00:00
Team Member 3,acf2e6f7-9f9e-4796-aabb-7d77a6eceb72,Microlearning vaccines,ebb1da0846bd18fa3610,18,2025-11-05T15:20:29.040647+00:00
Team Member 3,a701c51c-dde8-4948-91d4-f5b0706b25f2,Microlearning vaccines,9199b4fca7baa7b42faa,9,2025-10-22T15:45:08.688597+00:00
Team Member 3,882c9386-7b23-4012-95d6-65784a679878,Microlearning vaccines,ac7b667335477a806537,14,2025-11-07T08:50:12.689574+00:00
Team Member 3,c5b626f2-23e5-42f1-9558-52fa347eb8de,Motivational interviewing,1b73774c47b807893990,18,2025-11-04T10:29:23.338647+00:00
Team Member 3,aec99648-7f35-4bd9-a861-bb0c8a751f13,Motivational interviewing,0f3dbfb7582e886c1e0a,15,2025-11-03T12:56:40.242621+00:00
Team Member 3,9b2588c7-62f6-4053-9341-f70e163a17a5,Motivational interviewing,acdcbd046fa61ff12003,21,2025-11-01T14:26:37.701018+00:00
Team Member 3,19f1f253-f89e-4354-925b-075fa10218da,Scenario,a98a9d69640df97e8343,9,2025-11-06T09:36:25.328896+00:00
Team Member 3,386fbe08-e4d9-4ddb-99ce-2233143f305e,Scenario,3bc228ef1a2e56fd0b7d,10,2025-10-23T08:03:38.996935+00:00
Team Member 3,7b29bd2e-6069-4541-9235-b7ea0603d387,Scenario,06cd9fa61381ab89d76d,40,2025-10-24T09:15:56.947100+00:00
Team Member 3,ccc07dd2-c265-4194-8dca-3ec488317c04,Visit check in,c0dee9e62e176636c4ba,20,2025-10-21T10:36:56.977684+00:00
Team Member 3,c94fefc9-c9ae-4f13-94b3-12cc2b2c4bf9,Visit check in,233cb48d734f7d37b6da,25,2025-10-20T12:18:47.422204+00:00
Team Member 3,8863aeac-5bd8-4fb6-900b-9b1317a3eb5a,Visit check in,88125c78773e0e4351eb,28,2025-10-24T13:42:12.756050+00:00
Team Member 4,4deecc83-4900-42dc-b6c0-fd821bc286c3,Microlearning,92af25bf7dc720ef8486,13,2025-11-02T09:04:47.155824+00:00
Team Member 4,dd03e919-7102-4aba-a7fd-0788fad714ac,Microlearning,39d38a338c052f6905d7,26,2025-11-07T08:26:09.312922+00:00
Team Member 4,de92aeb2-ecc2-491b-b81a-aafdfe7523e5,Microlearning,24d4fe68f26ebba4216b,17,2025-11-01T13:32:42.883635+00:00
Team Member 4,ca8c5b96-f421-4ad8-94e6-fcd88c4bc45c,Microlearning vaccines,825a52b6cb10f26a7fe8,14,2025-11-07T15:19:36.253787+00:00
Team Member 4,1a675211-a5f4-422c-81f4-8869ff5a74ab,Microlearning vaccines,2bfa7a5e3ff5e966c714,13,2025-10-20T10:31:05.171778+00:00
Team Member 4,b39237ce-af83-41d3-a40b-60177ed10999,Microlearning vaccines,257ec7b173cfb5b2e590,15,2025-10-29T16:34:53.057004+00:00
Team Member 4,52d3b399-21dc-4d78-b255-2a65bc0dad18,Motivational interviewing,717aef1c17f57bc45884,17,2025-10-23T13:17:59.770540+00:00
Team Member 4,0f72e147-721b-4e9b-bcdf-7a019d493f00,Motivational interviewing,816cf9371526c6e205a7,16,2025-11-02T10:19:33.939212+00:00
Team Member 4,158a9f5d-2d85-439a-af6e-d703553f10ed,Motivational interviewing,fa7f647d19deea60c8f8,13,2025-10-31T10:32:39.608808+00:00
Team Member 4,4e5ddae5-76ef-433e-b25b-a4c0d820f2dc,Scenario,598c2781ddd952473732,13,2025-10-22T07:38:43.669458+00:00
Team Member 4,7df285b8-8033-4409-8a74-f837f7d7fead,Scenario,aa87f3cf117715123f74,7,2025-10-28T12:17:21.675195+00:00
Team Member 4,6522c3d0-5059-44e6-954b-92c4c2c79cca,Scenario,556920eddaf33a8f1885,10,2025-10-23T07:43:02.194610+00:00
Team Member 4,b111612c-e3e1-4623-a985-ab9b311f41a5,Visit check in,f679bdc58751d1ed1c67,14,2025-10-20T10:38:36.633061+00:00
Team Member 4,2f2b5e11-f54a-463c-8916-1e4364e06c4b,Visit check in,e8f509d1b6aefb2c9f2d,12,2025-10-22T15:33:02.248801+00:00
Team Member 4,3f6225a5-5925-406f-98be-fa673075dca5,Visit check in,379cefb63a9f2114eb58,15,2025-10-22T10:27:31.591652+00:00
